id,zona,nombre,direccion,lat,lon,tipo,riesgo,mensaje,audio_hint,vibro_patron,radio_m,orden,hospitals
90e7e28b,FOSCA/FCV,Cruce sobre calle 23 esqu cra 34 entrada CM ARDILA LULE,Calle 23/Cra 24,7.073969,-73.109643,CRUCE,medio,,,,12,18,CENTRO MEDICO ARDILA LULE
6672a56f,FOSCA/FCV,Cruce Acceso Vehicular junto entrada CM ARDILA LULE,Cra 23 esq Calle 24,7.074,-73.109667,CRUCE,medio,El vado es el mismo que conecta el cruce sobre la cra 23 esq cra 24,,,12,19,CENTRO MEDICO ARDILA LULE
"724f3451,FOSCA/FCV,Anden desde cruce CC METRO hasta esq Cra 24 Esquina cra 25 a Cra 24 por la calle 23,calle 23/cra 24,7.07386,-73.109353,VIA CIRCULACION,alto,""Pavimento en mal estado, invadido por capa vegetal"",,,12,20,CENTRO MEDICO ARDILA LULE"
"6aac264f,FOSCA/FCV,Cruce sobre calle 23 esqu cra 34 entrada CM ARDILA LULE anden conj EL BOSQUE,Calle 23/Cra 24,7.073889,-73.109667,CRUCE,alto,""Cruce no demarcado, la vegetacion invade zona de peatonal"",,,12,21,CENTRO MEDICO ARDILA LULE"
3d14619f,FOSCA/FCV,Cruce sobre calle 24 esq Cra 23 entrada CM ARDILA LULE,Cra 24/Calle 23,7.073893,-73.109761,CRUCE,medio,,,,12,22,CENTRO MEDICO ARDILA LULE
4e89a07d,FOSCA/FCV,Cruce sobre calle 24 esq Cra 23 conj EL BOSQUE,Cra 24/Calle 23,7.073889,-73.109694,CRUCE,alto,invadido por la vegetacion,,,12,23,CENTRO MEDICO ARDILA LULE
49cf9796,FOSCA/FCV,Anden desde entrada de Ardila Lule hasta esquina óptica,cra 24/calle 23,7.073757,-73.109773,VIA CIRCULACION,medio,La mayoria del tramo cumple bien con los criterios pero a la entrada de la optica NO,,,12,24,CENTRO MEDICO ARDILA LULE
05cb79c2,FOSCA/FCV,Escalera y rampa de acceso a CLINICA FOSCAL,Cra 24/entre Calle 23 y 25,7.073667,-73.110111,ESCALERA/ RAMPA,medio,Corredor interior entre edificios,,,12,25,CENTRO MEDICO ARDILA LULE CLINICA FOSCAL
6bff118a,FOSCA/FCV,Andén desde esquina optica hasta esquina clinica foscal,cra 24/calle 23,7.073222,-73.109806,VIA CIRCULACION,alto,Presencia vendedores ambulantes,,,12,26,CENTRO MEDICO ARDILA LULE FCV
68ded288,FOSCA/FCV,Anden paralelo a conjunto EL BOSQUE desde entrada CM ARDILA LULE hasta acceso vehícular FCV,Cra 24/Calle 23,7.073603,-73.109715,VIA CIRCULACION,medio,,,,12,27,CENTRO MEDICO ARDILA LULE FCV
d72267bd,FOSCA/FCV,Cruce esq sobre Cra 24,Cra 24/Calle 27(calle155),7.073056,-73.109806,CRUCE,alto,,,,12,28,FCV
a20eb3d2,FOSCA/FCV,Cruce esq sobre Cra 24 junto entrada parque,Cra 24/Calle 27(calle155),7.073026,-73.109777,CRUCE,alto,,,,12,29,FCV
5d8467e5,FOSCA/FCV,Cruce Cra 24 entrada parque (vado entrada parque),Cra 24/Calle 27(calle155),7.073015,-73.109782,CRUCE,alto,Vado acceso al parque,,,12,30,FCV
0bde36eb,FOSCA/FCV,Cruce en anden esquina de entrada a parque por la calle 27 (final de cebra FCV),Cra 24/Calle 27(calle155),7.072981,-73.109832,CRUCE,alto,Sobre acceso vehicular de la FCV. El final de la cebra en FCV es punto comun con cruce sobre calle 27,,,12,31,FCV
95a4152d,FOSCA/FCV,Cruce esquina Opuesta a FCV,Calle 27(calle155)/Cra 24,7.07302,-73.10986,CRUCE,alto,,,,12,32,FCV CLIN FOSCAL
ccf6c37f,FOSCA/FCV,Anden FCV entrada 3,Calle 27/Cra24 a Cra 23,7.072946,-73.110108,VIA CIRCULACION,medio,,,,12,33,FCV CLIN FOSCAL
5f513687,FOSCA/FCV,Escalera/Rampa acceso a edificio FCV,Calle 25(155)/Cra 24,7.072944,-73.110001,ESCALERA/ RAMPA,alto,,,,12,34,FCV
f0c45bbb,FOSCA/FCV,Escalera/Rampa entrada 3 Urgencias FCV,Calle 25(155) No. 23-58,7.072975,-73.109942,ESCALERA/ RAMPA,alto,,,,12,35,FCV
